ID,Type,Case,Floor,N_i,Vy_i,Vz_i,T_i,My_i,Mz_i,N_j,Vy_j,Vz_j,T_j,My_j,Mz_j
E1_190,viga,C2,CIELO_3,-0.8039985065338746,-0.4864006718989968,-0.40114816538843556,-0.5465888675220127,1.604792353739359,-0.4690102917283189,0.8039985065338746,0.4864006718989968,0.40114816538843556,0.5465888675220127,-0.6219793485376905,-0.7226713544242245
E1_190,viga,C3,CIELO_3,-0.8039985065338746,-0.4864006718989968,-0.40114816538843556,-0.5465888675220127,1.604792353739359,-0.4690102917283189,0.8039985065338746,0.4864006718989968,0.40114816538843556,0.5465888675220127,-0.6219793485376905,-0.7226713544242245
E1_191,viga,C1,CIELO_3,0.14286093578446213,2.8316831872368096,1.2852007144202409,-5.132941888931993,0.9273699345113805,0.6572043547134634,-0.14286093578446213,-2.8316831872368096,-1.2852007144202409,-6.305344469408152,-0.9273699345113805,0.6142579737682495
E1_191,viga,C2,CIELO_3,0.14286093578446213,2.8316831872368096,1.2852007144202409,-5.132941888931993,0.9273699345113805,0.6572043547134634,-0.14286093578446213,-2.8316831872368096,-1.2852007144202409,-6.305344469408152,-0.9273699345113805,0.6142579737682495
E1_191,viga,C3,CIELO_3,0.14286093578446213,2.8316831872368096,1.2852007144202409,-5.132941888931993,0.9273699345113805,0.6572043547134634,-0.14286093578446213,-2.8316831872368096,-1.2852007144202409,-6.305344469408152,-0.9273699345113805,0.6142579737682495
E1_192,viga,C1,CIELO_3,0.4210770800427176,2.5194631846423174,-1.9503810741010001,7.621885635032298,-2.057771624643878,1.517652647958902,-0.4210770800427176,-2.5194631846423174,1.9503810741010001,6.518377152199953,2.057771624643878,1.5351561823508004
E1_192,viga,C2,CIELO_3,0.4210770800427176,2.5194631846423174,-1.9503810741010001,7.621885635032298,-2.057771624643878,1.517652647958902,-0.4210770800427176,-2.5194631846423174,1.9503810741010001,6.518377152199953,2.057771624643878,1.5351561823508004
E1_192,viga,C3,CIELO_3,0.4210770800427176,2.5194631846423174,-1.9503810741010001,7.621885635032298,-2.057771624643878,1.517652647958902,-0.4210770800427176,-2.5194631846423174,1.9503810741010001,6.518377152199953,2.057771624643878,1.5351561823508004
E1_193,viga,C1,CIELO_3,0.05734242493132777,1.7425178653927749,0.7960666544691182,-3.247446798708191,0.6888092141420853,0.27204608929553875,-0.05734242493132777,-1.7425178653927749,-0.7960666544691182,-3.837546426066961,-0.6888092141420853,0.23830149259327837
E1_193,viga,C2,CIELO_3,0.05734242493132777,1.7425178653927749,0.7960666544691182,-3.247446798708191,0.6888092141420853,0.27204608929553875,-0.05734242493132777,-1.7425178653927749,-0.7960666544691182,-3.837546426066961,-0.6888092141420853,0.23830149259327837
